triad,n_arr,n_bal,n_hier,n_tot,n_trans_bal,n_trans_hier,n_trans_tot,n_cyclic_bal,n_cyclic_hier,n_cyclic_tot,per_bal,per_hier,per_trans_bal,per_trans_hier,per_cyclic_bal,per_cyclic_hier,per_trans_bal_sep,per_cyclic_bal_sep,per_trans_hier_sep,per_cyclic_hier_sep,per_bal_sep,per_hier_sep
030C,"[0, 0, 0, 0, 0, 0, 0, 0, 88, 735, 1384, 1176]",1911,2119,3383,0,0,0,1911,2119,3383,0.564883239728052,0.6263671297664795,0.0,0.0,0.564883239728052,0.6263671297664795,NaN,0.564883239728052,NaN,0.6263671297664795,0.564883239728052,0.6263671297664795
111U,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120D,"[1186, 19320, 1399, 3783, 1633, 3549, 2051, 93693, 0, 0, 0, 0]",57391,58483,63307,57391,58483,126614,0,0,0,0.9065506184150252,0.923799895746126,0.9065506184150252,0.923799895746126,0.0,0.0,0.9165258186298514,NaN,0.9609205932993192,NaN,0.9165258186298514,0.9609205932993192
120C,"[310, 1344, 1156, 1561, 500, 413, 3381, 14313, 228, 2751, 5898, 14101]",16548,7198,22978,17313,21409,22978,16852,8649,22978,0.7201671163721821,0.31325615806423535,0.7534598311428323,0.9317172948037253,0.733397162503264,0.376403516406998,0.7534598311428323,0.733397162503264,0.9317172948037253,0.376403516406998,0.7434284968230481,0.6540604056053616
201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,"[1190, 5809, 2967, 4945, 2142, 4847, 6584, 259399, 352, 3083, 6584, 85942]",88390,2374,95961,88390,88353,287883,89025,9667,95961,0.9211033649086608,0.024739216973562177,0.9211033649086608,0.9207177916028386,0.9277206365085816,0.10073884182115651,0.9389821559452972,0.9277206365085816,0.9728570287234745,0.10073884182115651,0.9361667760861183,0.754827481997895
003,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
012,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
021D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
030T,"[9540, 32332, 8031, 16002, 13161, 9301, 16338, 136433, 0, 0, 0, 0]",189957,223806,241138,189957,223806,241138,0,0,0,0.7877522414551004,0.9281241446806393,0.7877522414551004,0.9281241446806393,0.0,0.0,0.7877522414551004,NaN,0.9281241446806393,NaN,0.7877522414551004,0.9281241446806393
021U,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,"[418, 1042, 789, 1410, 762, 1437, 1690, 394026, 129, 820, 1632, 131277]",65763,119,66929,65763,65629,401574,65781,1033,133858,0.9825785533924009,0.001778003556007112,0.9825785533924009,0.9805764317410988,0.982847495106755,0.015434266162649972,0.98766105375348,0.9868442678061826,0.9944568124430366,0.018317918988779155,0.9874568572666557,0.7504220890794723
102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
021C,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120U,"[2831, 5087, 3834, 3310, 7187, 5975, 7228, 136286, 0, 0, 0, 0]",74916,76197,85869,74916,76197,171738,0,0,0,0.8724452363483911,0.8873633092268456,0.8724452363483911,0.8873633092268456,0.0,0.0,0.8873633092268456,NaN,0.9428839278435757,NaN,0.8873633092268456,0.9428839278435757
