school,q,psbt,pst,dev_q,dev_psbt,dev_pst,err10
t11_10_1,0.9,0.0,0.75,0.025,0.05,0.05,0.002370816512332701
t11_10_2,0.9625,0.725,0.525,0.0375,0.275,0.075,0.04508409841610976
t11_10_3,0.95625,0.7625,0.5125,0.05,0.3,0.075,0.07159762309073378
t11_10_4,0.9333333333,0.625,0.55,0.0375,0.475,0.125,0.01042758458013563
t11_9_1,0.75,0.15,1.0,0.025,0.05,0.05,0.005525770919827437
t11_9_2,0.85,0.1,0.775,0.05,0.1,0.075,0.0038038323275053007
t11_9_3,0.975,0.8,0.5,0.025,0.05,0.05,0.033285698584315467
t11_9_4,0.9,0.75,0.55,0.025,0.05,0.05,0.0016318038209633008
t11_8_1,0.9375,0.75,0.625,0.04375,0.1,0.075,0.003819485517107698
t11_8_2,0.7625,0.275,0.875,0.0375,0.125,0.125,0.016751395564939812
t11_8_3,0.75,0.6,0.65,0.025,0.05,0.05,0.010232414698007055
t11_8_4,0.25,0.85,0.75,0.05,0.05,0.05,0.005302646387729011
t11_7,0.9083333333,0.5,0.6,0.0375,0.475,0.15,0.019013871868076036
t11_6,0.7375,0.35,0.875,0.0375,0.1,0.075,0.002635515758138676
t11_5_1,0.9,0.2,0.65,0.025,0.05,0.05,0.008438177287341557
t11_5_2,0.875,0.4,0.625,0.025,0.3,0.125,0.0024635126810384315
t11_5_3,0.925,0.6,0.55,0.025,0.05,0.05,0.023725683654997123
t11_5_4,0.7875,0.15,0.825,0.075,0.3,0.225,0.002127064622075623
t11_4_1,0.6,0.125,0.875,0.075,0.125,0.175,0.002143307429164118
t11_4_2,0.675,0.65,0.55,0.025,0.05,0.05,0.003039888860836546
t11_4_3,0.1476190476,0.7095238095,0.4452380952,0.20625,0.225,0.5,0.04064077259827223
t11_4_4,0.4,0.75,0.4,0.025,0.05,0.05,0.005288136149489789
t11_3_1,0.9625,0.9,0.5,0.0375,0.1,0.05,0.07779023635191923
t11_3_2,0.9,0.75,0.5,0.025,0.05,0.05,0.013335161346854236
t11_2_1,0.775,0.2,1.0,0.025,0.05,0.05,0.0005458427989395416
t11_2_2,0.975,0.4,0.55,0.025,0.05,0.05,0.009636259690354547
t11_2_3,0.875,0.3,0.65,0.025,0.05,0.05,0.006634923717880583
t11_2_4,0.95,1.0,0.5,0.025,0.05,0.05,0.009567083797658605
t11_1_1,0.77,0.07,0.89,0.0375,0.15,0.15,0.006411564906506139
t11_1_2,0.925,0.6,0.55,0.025,0.05,0.05,0.007878247599706458
t1,0.925,0.45,0.6,0.025,0.05,0.05,0.018275937345898663
t2,0.875,0.5,0.65,0.05,0.4,0.2,0.0038156119466494073
t6,0.8,0.525,0.625,0.05,0.125,0.075,0.009270324275317652
