school,q,psbt,pst,dev_q,dev_psbt,dev_pst,errrho
t11_10_1,0.925,0.5,0.65,0.025,0.05,0.05,0.00029121734990051126
t11_10_2,0.9375,0.425,0.6,0.04375,0.275,0.1,0.02314080177766448
t11_10_3,0.95,0.95,0.5,0.0375,0.05,0.05,0.031352056463776784
t11_10_4,0.905,0.29,0.68,0.0375,0.275,0.125,0.00621401569407623
t11_9_1,0.675,0.725,0.75,0.075,0.325,0.25,0.004464244312840554
t11_9_2,0.825,0.1,0.85,0.025,0.15,0.1,0.0022404710154478036
t11_9_3,0.925,0.25,0.65,0.025,0.05,0.05,0.024878289493466293
t11_9_4,0.9,0.75,0.55,0.025,0.05,0.05,0.0016318038209633008
t11_8_1,0.9375,0.75,0.625,0.04375,0.1,0.075,0.003819485517107698
t11_8_2,0.6,0.85,0.6,0.075,0.05,0.05,0.01085432433824637
t11_8_3,0.65,0.725,0.725,0.1,0.225,0.175,0.00717105850566819
t11_8_4,0.25,0.85,0.75,0.05,0.05,0.05,0.005302646387729011
t11_7,0.825,0.65,0.65,0.025,0.05,0.05,0.004832760469912378
t11_6,0.7875,0.575,0.75,0.0375,0.175,0.1,0.0003008861684849656
t11_5_1,0.8,0.15,0.85,0.05,0.05,0.05,0.0008290742930669339
t11_5_2,0.9,0.3166666667,0.6166666667,0.05,0.175,0.075,0.0027117679443669765
t11_5_3,0.875,0.7,0.55,0.025,0.05,0.05,0.019733789187051293
t11_5_4,0.75,1.0,0.4,0.025,0.05,0.05,0.00016891111258956324
t11_4_1,0.6,0.125,0.875,0.1,0.125,0.175,0.002143307429164118
t11_4_2,0.6166666667,0.65,0.6166666667,0.075,0.175,0.2,0.003207651835191546
t11_4_3,0.1192307692,0.7153846154,0.3923076923,0.1375,0.125,0.475,0.03963249881730396
t11_4_4,0.35,0.675,0.7,0.1,0.125,0.35,0.00528311338222014
t11_3_1,0.94375,0.6375,0.5375,0.04375,0.475,0.1,0.04820514118756537
t11_3_2,0.875,0.05,0.7,0.025,0.05,0.05,0.005635434273340327
t11_2_1,0.8,0.45,0.8,0.025,0.05,0.05,0.0001413923993228901
t11_2_2,0.95,0.25,0.6,0.0375,0.05,0.05,0.006005536681451315
t11_2_3,0.8,0.15,0.85,0.025,0.05,0.05,0.002829126363990403
t11_2_4,0.95,0.3,0.6,0.0375,0.05,0.05,0.0028689478839095954
t11_1_1,0.825,0.7,0.7,0.025,0.05,0.05,0.0004495064763622099
t11_1_2,0.875,0.0,0.8,0.025,0.05,0.05,0.001884617265956772
t1,0.95,1.0,0.5,0.025,0.05,0.05,0.01022698314128795
t2,0.825,0.15,0.85,0.075,0.05,0.1,0.0034468170316127684
t6,0.7785714286,0.5928571429,0.6642857143,0.125,0.475,0.35,0.00803773283480288
