,school,error_min,error_min20,error_min10,error_rel,error_rho
0,t11_10_1,0.00029121734990051126,0.00029121734990051126,0.002370816512332701,1.2737970571377375,0.003283217142077202
1,t11_10_2,0.004877019815187151,0.02314080177766448,0.04508409841610976,2.3958204997664816,0.050913503808850506
2,t11_10_3,0.002221763725147124,0.04181489822029447,0.07159762309073378,2.518556505721127,0.07576818231506233
3,t11_10_4,0.0007961646458149479,0.00621401569407623,0.01042758458013563,2.7358714195045613,0.013252718941643071
4,t11_9_1,0.003158044126352732,0.0041383164597114325,0.005525770919827437,0.9241822993039779,0.008654754907540193
5,t11_9_2,0.0007657740172504783,0.0022404710154478036,0.0038038323275053007,1.756734359351378,0.004874049954318134
6,t11_9_3,0.0012303520436168427,0.024878289493466293,0.033285698584315467,1.7927855392921388,0.033285698584315467
7,t11_9_4,0.0016318038209633008,0.0016318038209633008,0.0016318038209633008,1.276233603840395,0.0016318038209633008
8,t11_8_1,0.0012569830383050047,0.003819485517107698,0.003819485517107698,0.6891888737476979,0.007915233000176094
9,t11_8_2,0.006433027150929878,0.01085432433824637,0.016751395564939812,1.5448021172693005,0.02058829888732594
10,t11_8_3,0.005988381654078656,0.00717105850566819,0.010232414698007055,1.03628503679069,0.012617538796388189
11,t11_8_4,0.000785802702222953,0.005302646387729011,0.005302646387729011,1.2274090078224111,0.006783901622589343
12,t11_7,0.004130684738088297,0.004832760469912378,0.019013871868076036,1.7399623842893028,0.019032019461030246
13,t11_6,0.00015478614919967688,0.0003008861684849656,0.002635515758138676,1.0914121773996002,0.004994190199637358
14,t11_5_1,0.00037265397252712824,0.002180747056398362,0.008438177287341557,0.8355545303873885,0.010951126165750249
15,t11_5_2,0.0024635126810384315,0.0024635126810384315,0.0024635126810384315,1.7233950895608616,0.002796856940374176
16,t11_5_3,0.0019730344000879374,0.019733789187051293,0.023725683654997123,2.2126972742942845,0.03470185361488501
17,t11_5_4,0.00016891111258956324,0.00016891111258956324,0.002127064622075623,1.2492324293849295,0.0024069955063549266
18,t11_4_1,0.002143307429164118,0.002143307429164118,0.002143307429164118,0.8808811580346083,0.0033491394277215245
19,t11_4_2,0.0012996392167874543,0.0029005831556536995,0.003039888860836546,2.394481336811881,0.0039012428975139526
20,t11_4_3,0.0026474090557264116,0.038834252474195904,0.04064077259827223,2.754883337775773,0.044371973886184427
21,t11_4_4,0.00528311338222014,0.00528311338222014,0.005288136149489789,1.954780305473427,0.005288136149489789
22,t11_3_1,0.0016122925346352829,0.040380469697514396,0.07779023635191923,1.807396584675478,0.051832424143462355
23,t11_3_2,0.0003114257044415251,0.005635434273340327,0.013335161346854236,2.7969231900302116,0.0191157340888101
24,t11_2_1,0.00012522890000390112,0.0001413923993228901,0.0005458427989395416,1.5700784025568801,0.004533068889412435
25,t11_2_2,0.001850289180779918,0.006150631080998719,0.009636259690354547,2.5634132570947337,0.015504105809470025
26,t11_2_3,0.0010474256893962628,0.002829126363990403,0.006634923717880583,2.062675347383504,0.012394685929169858
27,t11_2_4,0.00314992316018305,0.006061446232494171,0.009567083797658605,1.9621043200569057,0.009567083797658605
28,t11_1_1,0.0004495064763622099,0.0004495064763622099,0.006411564906506139,1.6894659449320142,0.006411564906506139
29,t11_1_2,0.0005804461867547079,0.001884617265956772,0.007878247599706458,1.8243028534092578,0.014215686700530287
30,t1,0.00440834820263777,0.01022698314128795,0.018275937345898663,1.322678957907363,0.01022698314128795
31,t2,0.0013116702118738963,0.0038156119466494073,0.0038156119466494073,0.873818176225763,0.004509820824301382
32,t6,0.001872552765198155,0.005960613080352232,0.009270324275317652,1.2694435016053935,0.012084689893363004
